Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating,Visibility Category
Low Fat,FDW36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057,11.15,106.86,3.7,High Visibility
Low Fat,FDV50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.123,14.3,124.37,3.7,High Visibility
Low Fat,FDC41,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.117,15.6,78.07,3.7,High Visibility
Low Fat,DRN59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.064,15.0,45.21,3.7,High Visibility
Low Fat,NCN05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014,8.235,182.3,3.7,Low Visibility
Low Fat,NCS53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09,14.5,160.36,3.7,High Visibility
Low Fat,NCD07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.056,9.1,112.55,3.7,High Visibility
Low Fat,NCC07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024,19.6,104.6,3.7,Low Visibility
Low Fat,FDH34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,8.63,183.96,3.7,Low Visibility
Low Fat,FDP58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,11.1,220.75,3.7,Low Visibility
Low Fat,FDS57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.104,15.5,143.55,3.7,High Visibility
Low Fat,FDB59,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015,18.25,198.01,3.7,Low Visibility
Regular,FDK60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094,16.5,95.21,3.7,High Visibility
Regular,FDO01,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021,21.1,128.8,3.7,Low Visibility
Regular,FDR32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,6.78,227.57,3.7,Low Visibility
Regular,FDT32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066,19.0,189.62,3.7,High Visibility
Regular,DRB13,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007,6.115,188.65,3.7,Low Visibility
Low Fat,FDN24,Baking Goods,1998,OUT019,Tier 1,Small,Grocery Store,0.198,11.65,54.4,3.7,High Visibility
Low Fat,FDB09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.1,13.1,123.1,3.7,High Visibility
Low Fat,NCE19,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.163,13.15,54.6,3.7,High Visibility
Low Fat,NCQ30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.051,13.15,120.54,3.7,Low Visibility
Low Fat,FDK27,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.016,12.35,122.28,3.7,Low Visibility
Low Fat,FDP39,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.122,12.35,53.73,3.7,High Visibility
Low Fat,NCL07,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.055,14.5,40.55,3.7,High Visibility
Low Fat,FDP46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.131,13.15,88.38,3.7,High Visibility
Low Fat,FDV46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.022,13.15,141.42,3.7,Low Visibility
Low Fat,DRH13,Soft Drinks,1998,OUT019,Tier 1,Small,Grocery Store,0.042,11.8,107.63,3.7,Low Visibility
Regular,FDR01,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.094,12.15,200.47,3.7,High Visibility
Regular,FDU01,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.021,12.15,185.19,3.7,Low Visibility
Regular,FDT07,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.135,13.1,256.13,3.7,High Visibility
Low Fat,FDX60,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.081,14.35,81.0,3.7,High Visibility
Low Fat,FDG16,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.09,15.25,217.32,3.7,High Visibility
Low Fat,FDH08,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.017,7.51,229.6,3.7,Low Visibility
Low Fat,FDR08,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.038,18.7,110.79,3.7,Low Visibility
Low Fat,FDI20,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.039,19.1,209.26,3.7,Low Visibility
Low Fat,FDM32,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021,20.5,91.08,3.7,Low Visibility
Low Fat,NCV53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.019,8.27,237.99,3.7,Low Visibility
Low Fat,NCG42,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.041,19.2,129.83,3.7,Low Visibility
Low Fat,NCO07,Others,2010,OUT046,Tier 1,Small,Supermarket Type1,0.01,9.06,213.76,3.7,Low Visibility
Low Fat,DRI13,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02,15.35,216.75,3.7,Low Visibility
Regular,FDI36,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.062,12.5,199.74,3.7,High Visibility
Regular,FDO52,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.077,11.6,172.51,3.7,High Visibility
Regular,FDF56,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.119,16.7,182.8,3.7,High Visibility
Low Fat,NCB42,Health and Hygiene,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.009,11.8,117.65,3.7,Low Visibility
Low Fat,FDN44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.023,13.15,157.89,3.7,Low Visibility
Low Fat,FDA32,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,14.0,216.92,3.7,Low Visibility
Low Fat,FDT25,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.051,7.5,121.71,3.7,Low Visibility
Low Fat,FDE26,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089,9.3,145.38,3.7,High Visibility
Low Fat,FDG16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09,15.25,215.12,3.7,High Visibility
Low Fat,FDO32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121,6.36,45.71,3.7,High Visibility
Low Fat,FDI20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.039,19.1,212.16,3.7,Low Visibility
Low Fat,DRL35,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.031,15.7,43.28,3.7,Low Visibility
Low Fat,NCL53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.036,7.5,175.4,3.7,Low Visibility
Low Fat,NCK30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.061,14.85,253.27,3.7,High Visibility
Low Fat,NCP43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.031,17.75,177.87,3.7,Low Visibility
Low Fat,FDF22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.057,6.865,214.62,3.7,High Visibility
Low Fat,FDT48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046,4.92,199.81,3.7,Low Visibility
Low Fat,FDU25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.027,12.35,57.32,3.7,Low Visibility
Low Fat,FDO04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,16.6,54.66,3.7,Low Visibility
Low Fat,FDG29,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.057,17.6,41.75,3.7,High Visibility
Low Fat,NCO17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.074,10.0,121.44,3.7,High Visibility
Low Fat,NCZ30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,6.59,119.11,3.7,Low Visibility
Low Fat,FDK27,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.009,11.0,119.98,3.7,Low Visibility
Low Fat,DRL49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.057,13.15,144.38,3.7,High Visibility
Regular,FDN56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.107,5.46,145.58,3.7,High Visibility
Regular,FDV56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014,16.1,109.36,3.7,Low Visibility
Regular,FDU20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.022,19.35,122.21,3.7,Low Visibility
Regular,FDV33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.027,9.6,258.33,3.7,Low Visibility
Regular,FDN22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.139,18.85,252.47,3.7,High Visibility
Regular,FDB23,Starchy Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0,19.2,223.81,3.7,Low Visibility
Regular,FDT35,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.082,19.85,167.68,3.7,High Visibility
Regular,FDD38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.008,16.75,101.97,3.7,Low Visibility
Regular,FDI40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.126,11.5,100.64,3.7,High Visibility
Regular,FDB29,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.053,16.7,114.72,3.7,Low Visibility
Regular,FDK10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.041,5.785,180.37,3.7,Low Visibility
Regular,FDT09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.012,15.15,130.03,3.7,Low Visibility
Low Fat,FDO12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.055,15.75,195.85,3.7,High Visibility
Low Fat,FDU23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.022,12.15,163.12,3.7,Low Visibility
Low Fat,FDJ50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.022,8.645,53.4,3.7,Low Visibility
Low Fat,FDX02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.057,16.0,225.94,3.7,High Visibility
Low Fat,DRE03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024,19.6,45.57,3.7,Low Visibility
Low Fat,FDK16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.115,9.065,97.01,3.7,High Visibility
Low Fat,FDG04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.006,13.1,188.99,3.7,Low Visibility
Low Fat,FDB53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.139,13.35,148.34,3.7,High Visibility
Low Fat,NCW17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019,18.0,129.4,3.7,Low Visibility
Low Fat,NCP05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025,19.6,152.0,3.7,Low Visibility
Low Fat,NCT42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025,5.88,149.44,3.7,Low Visibility
Low Fat,NCT30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08,9.1,47.27,3.7,High Visibility
Low Fat,NCE18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021,10.0,248.38,3.7,Low Visibility
Low Fat,FDL33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,7.235,197.25,3.7,Low Visibility
Low Fat,FDM21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064,20.2,259.46,3.7,High Visibility
Regular,FDQ47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.168,7.155,33.79,3.7,High Visibility
Regular,FDN49,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.125,17.25,41.65,3.7,High Visibility
Regular,FDE51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.096,5.925,43.81,3.7,High Visibility
Regular,FDZ26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.144,11.6,239.62,3.7,High Visibility
Regular,FDQ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036,11.1,177.27,3.7,Low Visibility
Regular,FDI40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.126,11.5,99.74,3.7,High Visibility
Regular,FDJ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,13.6,110.09,3.7,Low Visibility
Regular,FDV19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035,14.85,160.96,3.7,Low Visibility
Regular,FDN58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.057,13.8,231.6,3.7,High Visibility
Regular,FDL14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032,8.115,157.4,3.7,Low Visibility
Low Fat,FDB28,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.156,6.615,196.34,3.7,High Visibility
Low Fat,FDJ41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.038,6.85,261.26,3.7,Low Visibility
Low Fat,FDJ28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.037,12.3,193.32,3.7,Low Visibility
Low Fat,FDS40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.023,15.35,35.22,3.7,Low Visibility
Low Fat,FDE09,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.036,8.775,110.72,3.7,Low Visibility
Low Fat,NCX05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.162,15.2,117.65,3.7,High Visibility
Low Fat,NCA54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.061,16.5,178.73,3.7,High Visibility
Low Fat,NCB07,Household,2011,OUT010,Tier 3,High,Grocery Store,0.13,19.2,196.21,3.7,High Visibility
Low Fat,FDK46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.086,9.6,258.36,3.7,High Visibility
Low Fat,FDV09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.034,12.1,146.67,3.7,Low Visibility
Regular,FDJ03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.121,12.35,47.87,3.7,High Visibility
Regular,FDU26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.071,16.7,120.38,3.7,High Visibility
Regular,FDO56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.075,10.195,119.18,3.7,High Visibility
Regular,FDT15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.071,12.15,182.3,3.7,High Visibility
Low Fat,FDB60,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,0.048,9.3,195.01,3.7,Low Visibility
Low Fat,FDO36,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,0.078,19.7,179.17,3.7,High Visibility
Low Fat,FDT25,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.051,7.5,123.41,3.7,Low Visibility
Low Fat,FDR49,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.0,8.71,46.54,3.7,Low Visibility
Low Fat,FDQ52,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.119,17.0,247.44,3.7,High Visibility
Low Fat,FDI52,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.105,18.7,121.41,3.7,High Visibility
Low Fat,FDX44,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.043,9.3,88.52,3.7,Low Visibility
Low Fat,FDG57,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.072,14.7,47.5,3.7,High Visibility
Low Fat,NCB54,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.05,8.76,126.73,3.7,Low Visibility
Low Fat,NCR05,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.055,10.1,196.51,3.7,High Visibility
Low Fat,NCH07,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.093,13.15,159.56,3.7,High Visibility
Low Fat,NCL42,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.04,18.85,246.71,3.7,Low Visibility
Low Fat,NCO30,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.016,19.5,181.86,3.7,Low Visibility
Low Fat,NCC07,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.024,19.6,103.2,3.7,Low Visibility
Low Fat,FDK45,Seafood,2000,OUT013,Tier 3,High,Supermarket Type1,0.034,11.65,111.69,3.7,Low Visibility
Low Fat,FDI22,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.096,12.6,208.96,3.7,High Visibility
Low Fat,FDP10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.128,19.0,107.66,3.7,High Visibility
Low Fat,DRE12,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.071,4.59,113.29,3.7,High Visibility
Low Fat,DRJ49,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.0,6.865,129.97,3.7,Low Visibility
Regular,FDX47,Breads,2000,OUT013,Tier 3,High,Supermarket Type1,0.035,6.55,156.53,3.7,Low Visibility
Regular,FDA03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.045,18.5,144.91,3.7,Low Visibility
Regular,DRM49,Soft Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.152,6.11,43.01,3.7,High Visibility
Regular,FDD47,Starchy Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.142,7.6,171.34,3.7,High Visibility
Low Fat,NCD06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.099,13.0,46.31,3.7,High Visibility
Regular,FDZ26,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.144,11.6,240.62,3.7,High Visibility
Low Fat,FDA44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053,19.7,55.09,3.7,Low Visibility
Low Fat,FDT38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058,18.7,85.36,3.7,High Visibility
Low Fat,FDT04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,17.25,40.88,3.7,Low Visibility
Low Fat,FDK52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,18.25,224.11,3.7,Low Visibility
Low Fat,FDS07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1,12.35,113.65,3.7,High Visibility
Low Fat,FDF32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,16.35,196.34,3.7,Low Visibility
Low Fat,NCV41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017,14.35,110.32,3.7,Low Visibility
Low Fat,NCH54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.073,13.5,160.69,3.7,High Visibility
Low Fat,FDJ07,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014,7.26,118.12,3.7,Low Visibility
Low Fat,FDL15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047,17.85,153.67,3.7,Low Visibility
Low Fat,NCM07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,9.395,85.19,3.7,Low Visibility
Low Fat,FDI57,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054,19.85,196.08,3.7,Low Visibility
Low Fat,FDA10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.142,20.35,122.71,3.7,High Visibility
Low Fat,FDL46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054,20.35,117.35,3.7,Low Visibility
Low Fat,FDC35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.123,7.435,206.16,3.7,High Visibility
Regular,FDI36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.063,12.5,196.94,3.7,High Visibility
Regular,FDW02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038,4.805,126.27,3.7,Low Visibility
Regular,FDZ28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.052,20.0,125.87,3.7,Low Visibility
Regular,FDF08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,14.3,89.89,3.7,Low Visibility
Low Fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026,10.0,264.72,3.7,Low Visibility
Regular,FDU19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047,8.77,173.84,3.7,Low Visibility
Low Fat,FDZ52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.1,12.85,109.19,3.7,High Visibility
Low Fat,NCA42,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.028,13.15,158.06,3.7,Low Visibility
Low Fat,NCQ50,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034,13.15,211.92,3.7,Low Visibility
Low Fat,FDU39,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.036,12.35,58.36,3.7,Low Visibility
Low Fat,FDF58,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.01,13.15,64.55,3.7,Low Visibility
Low Fat,FDH34,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.031,13.15,186.66,3.7,Low Visibility
Low Fat,FDK57,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.08,13.15,120.04,3.7,High Visibility
Low Fat,FDM10,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.076,13.15,215.12,3.7,High Visibility
Low Fat,FDQ22,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.03,13.15,40.98,3.7,Low Visibility
Low Fat,DRI01,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.034,11.8,173.14,3.7,Low Visibility
Regular,FDT24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0,11.65,75.93,3.7,Low Visibility
Regular,FDT47,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.024,10.6,95.91,3.7,Low Visibility
Regular,FDD40,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.015,13.35,193.62,3.7,Low Visibility
Regular,FDG56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.071,13.1,60.55,3.7,High Visibility
Regular,FDQ45,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.011,13.15,185.36,3.7,Low Visibility
Regular,DRC01,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.019,11.8,48.47,3.7,Low Visibility
Regular,FDD59,Starchy Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.066,13.175,81.9,3.7,High Visibility
Regular,FDO10,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.013,13.65,57.66,3.6,Low Visibility
Low Fat,FDG02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.011,7.855,189.62,3.6,Low Visibility
Regular,FDH14,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.047,17.1,141.18,3.6,Low Visibility
Regular,FDG12,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,6.635,121.31,3.6,Low Visibility
Low Fat,NCC31,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,8.02,154.6,3.6,Low Visibility
Low Fat,FDW11,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049,12.6,61.92,3.6,Low Visibility
Regular,FDE40,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.099,13.35,62.92,3.6,High Visibility
Regular,FDG33,Seafood,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.14,11.65,170.48,3.6,High Visibility
Low Fat,FDA33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.034,6.48,148.01,3.6,Low Visibility
Low Fat,FDC15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.179,18.1,155.53,3.6,High Visibility
Regular,DRB48,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0,16.75,39.38,3.6,Low Visibility
Low Fat,FDK48,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0,7.445,76.84,3.6,Low Visibility
Regular,FDH45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.106,15.1,42.88,3.6,High Visibility
Regular,FDW22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,9.695,222.91,3.6,Low Visibility
Regular,FDO27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.18,6.175,95.28,3.6,High Visibility
Regular,FDS33,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.123,13.15,86.95,3.6,High Visibility
Low Fat,NCZ06,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.094,19.6,252.27,3.6,High Visibility
Regular,FDA52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.129,16.2,178.44,3.6,High Visibility
Regular,FDM60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.048,10.8,41.51,3.6,Low Visibility
Regular,FDO10,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.021,13.65,58.36,3.6,Low Visibility
Low Fat,FDD36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021,13.3,119.81,3.6,Low Visibility
Low Fat,FDU02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.103,13.35,228.64,3.6,High Visibility
Low Fat,FDB08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031,6.055,158.76,3.6,Low Visibility
Low Fat,DRM23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.136,16.6,172.04,3.6,High Visibility
Low Fat,NCD31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015,12.1,166.05,3.6,Low Visibility
Regular,FDV37,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.084,13.0,196.04,3.6,High Visibility
Regular,FDT55,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,13.6,156.49,3.6,Low Visibility
Low Fat,FDL16,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.295,12.85,47.11,3.6,High Visibility
Low Fat,DRK11,Hard Drinks,1998,OUT019,Tier 1,Small,Grocery Store,0.019,10.1,148.04,3.6,Low Visibility
Low Fat,NCM26,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.041,14.5,153.93,3.6,Low Visibility
Low Fat,FDK09,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.161,13.15,227.54,3.6,High Visibility
Low Fat,FDT46,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.054,13.15,52.1,3.6,Low Visibility
Regular,FDP13,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.235,12.15,41.55,3.6,High Visibility
Regular,FDO03,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.065,12.35,230.54,3.6,High Visibility
